Charger device ID,Charger display ID,Charger serial number,Location ID,Location name,Location street address,Location city,Location state/province,Location country,Location zip/postal code,Company,Company ID,Local time zone,Geolocation,Summary period start date (YYYY-MM-DD) (UTC),Summary period end date (YYYY-MM-DD) (UTC),Number of sessions,Number of unique drivers,Charging time (min),Energy provided (kWh),Payment collected ($),Currency used
0118cc50-cc26-4857-9824-25bfd6cd7635,MP-054,M5005323-3,587470d7-5f5f-43f7-ad3f-5ff2d1780e43,One Barbados Warrens,One Barbados Place-1 Warrens Close,Warrens,08,BB,BB23024,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.140969,-59.60947",2025-01-01,2025-01-31,83,15,8156.76,1006.0,892.65,BBD
c4fdd3cf-8121-46c1-9a60-a29eb35890ee,MP-076,M5012857-2,3a9ad049-2559-408f-84ae-c0b36ca60b8e,Millennium Heights,N/A-N/A Welches,St. Thomas,St. Thomas,BB,BB22026,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/St_Thomas,"13.150460382201004,-59.61058751275202",2025-01-01,2025-01-31,13,3,420.27,154.1,231.15,BBD
d2e3a8cc-fa40-4c16-b5d0-77f32cce9089,MP-Sunlink,M5012062-8,5a016d0f-809d-4491-ab86-994e6beddf51,SunLink,1-Thyme Bottom 1 Pimgrim Place,Bridgetown,01,BB,BB2100,,,America/Barbados,"13.074599,-59.512074",2025-01-01,2025-01-31,0,0,0.00,0.0,0.00,
cd6fbb27-25a6-4f04-ab90-eeaebbba5076,MP-005,M5004376-2,96069110-f22f-4d9b-a0c4-4345247e3a71,Coverley - Food Court,Coverley,,Christ Church,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0845981581339,-59.5015983027884",2025-01-01,2025-01-31,31,8,90.00,11.1,16.65,BBD
5d414d54-d677-479c-94f3-d903bae6e860,MP-081,M5012464-1,5b5caa1b-0c09-411f-a6b7-ca922aad1b22,Barbados Light & Power - Spring Garden Car PArk,Spring Garden-01 Substation Road,Bridgetown,08,BB,BB24003,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Guayaquil,"13.125772222570074,-59.63226024746143",2025-01-01,2025-01-31,1,1,112.09,41.1,61.65,BBD
e452d0fa-5104-4134-b5f7-ae4393adb0ad,MP-052,M5012464-10,0bef2736-d483-4d13-bc2b-1ee33e5d756d,The Crane Resort,The Crane Resort-0 Crane Road,Bridgetown,10,BB,BB18071,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.10597,-59.44521",2025-01-01,2025-01-31,2,2,60.55,22.2,33.30,BBD
3c4f5fac-e042-4ab8-a3ad-8652036d722c,MP-002,M5005103-5,4cd66a5c-b7e0-4080-8b8e-5a23f8817deb,Limegrove,Limegrove Lifestyle Center Carpark,Holetown,St. James,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.1865238988325,-59.6359529309767",2025-01-01,2025-01-31,90,31,4607.73,1689.5,2460.90,BBD
8fcea55b-ec15-4447-804e-6204cf251bcc,MP-013,M5006100-5,ece572a2-9643-415e-9666-25d3a9b6b200,Six Roads -Emerald City,Emerald City Supermerket Carpark-0 Highway 65,Six Roads,10,BB,BB18054,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.1165433,-59.4761632",2025-01-01,2025-01-31,28,11,1548.65,191.0,286.50,BBD
95de3100-eb4b-4456-a773-f33ef3cb4200,MP-022,51220097776026,4f871aee-9709-4397-82af-33e26d08d1ef,Megapower Workshop,0 Wilcox Ridge,Gibbons Boggs,01,BB,BB14016,,,America/Barbados,"13.0668347,-59.5270605",2025-12-01,2025-12-31,0,0,0.00,0.0,0.00,
2ea1f9f0-cc80-4aae-a7f3-db98c2e8ebaa,MP-007,M5005103-10,b8895613-3968-4ea0-bf24-c573d05e9b83,BLPC Garrison,"Barbados Light And Power, Garrison Hill",Garrison,St Thomas,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0813384907889,-59.6077824021418",2025-12-01,2025-12-31,8,4,156.82,57.5,86.24,BBD
77f4259c-03b2-4a8e-b935-e4b6ce434faf,MP-023,51210097772982,eafb79a1-0af7-4e3a-888e-7603bd359dc1,W Mall Welches St.Thomas ,Courts -1 W Mall,St.Thomas,11,BB,BB2100,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.15586,-59.6141",2025-12-01,2025-12-31,45,25,2306.16,960.9,1571.20,BBD
81c08165-7a24-4559-b0dc-f928c656f4cb,MP-059,M5012464-9,87d5bd9e-5f73-42df-ac36-34143e153ad3,Millenium Heights 2,Complex-0 Millenium Heights,Welches,11,BB,bb22130,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.15199,-59.60893",2025-12-01,2025-12-31,17,4,2704.05,333.5,500.19,BBD
093f4449-4457-41c7-b586-3741d6b16a5b,MP-063,M5012054-4,47880a58-2c0c-48e8-9dd9-3fe2d3d1e4aa,Port St Charles (Pier One Restaurant),Port St Charles-0 Heywoods,Speightstown,09,BB,BB26013,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.264145,-59.644266",2025-12-01,2025-12-31,44,10,8351.35,1030.0,1544.83,BBD
8a1bbc63-be29-4154-b3ca-0e7c3f0fe970,MP-058,M5012464-5,520e275f-4c35-4ffa-b7b5-9d6bf74c5672,One Welches Ltd,Carport-1 Welches,St.Thomas,11,BB,BB22025,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.155162,-59.613737",2025-12-01,2025-12-31,25,6,2297.84,283.4,425.00,BBD
d9066744-6377-43ba-a203-2f1519a82893,MP-021,51210097772979,4cd66a5c-b7e0-4080-8b8e-5a23f8817deb,Limegrove,Limegrove Lifestyle Center Carpark,Holetown,St. James,BB,,,,America/Barbados,"13.1865238988325,-59.6359529309767",2025-12-01,2025-12-31,0,0,0.00,0.0,0.00,
9da3d0f0-63ba-4a70-aaf6-7f9eccdad96f,MP-051,M5007971-1,748caf8b-c112-48a3-95bd-4099149f8909,Barbados Golf Club,Barbados Golf Club -0 Durants,Durants,01,BB,17090,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0729306,-59.5267344",2025-12-01,2025-12-31,13,4,1686.49,208.0,311.97,BBD
b3efaa90-e68e-4dba-891d-54e6b167fe8f,MP-054,M5012857-4,eafb79a1-0af7-4e3a-888e-7603bd359dc1,W Mall Welches St.Thomas ,Courts -1 W Mall,St.Thomas,11,BB,BB2100,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.15586,-59.6141",2025-12-01,2025-12-31,17,10,496.36,182.0,205.18,BBD
3caaf783-710a-465e-b5d6-4f94da061478,MP-074,M5005323-3,587470d7-5f5f-43f7-ad3f-5ff2d1780e43,One Barbados Warrens,One Barbados Place-1 Warrens Close,Warrens,08,BB,BB23024,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.140969,-59.60947",2025-12-01,2025-12-31,42,13,2029.64,744.2,812.03,BBD
ce749246-2532-4e97-b2dd-acf930077ed5,MP-014,M5003364-1,59d28f4c-5148-45cf-8f6a-f4537e1477c5,One Haggatt Hall,One Haggatt Hall Complex-0 Two Mile Hill,Haggatt Hall,08,BB,BB19025,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.1053216,-59.5822663",2025-12-01,2025-12-31,9,2,1557.57,192.1,288.08,BBD
c1964a6f-b3fa-4ffd-800c-54e9150f7292,MP-024,51210097772980,ee1be5a4-2046-4ae9-9e64-28066a8e1527,The Walk,"The Walk, Welches, St Thomas",Welches,St Thomas,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.155103143456,-59.6113313021413",2025-12-01,2025-12-31,140,53,8573.56,3684.0,6151.91,BBD
0c45935a-2de3-4926-bb19-37e6f7a65657,MP-010,M5004376-4,5be9dd25-d9f3-43d6-850e-f93e39227ff7,City Center Mall and Carpark,0 Chapel Street,Bridgetown,08,BB,BB14018,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.098217704116,-59.6175783039002",2025-12-01,2025-12-31,24,11,2777.03,342.5,513.73,BBD
a76307f4-bf7a-4fba-b850-6b3fe22817aa,MP-006,M5005918-6,e449d556-3bba-4833-a44f-1c7b808652f5,The Condominiums at Palm Beach,"The Condominiums at Palm Beach, Palm Beach Corporate Centre, Lower Ground Floor",Hastings,Christ Church BB15156,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0758939907924,-59.6029012733064",2025-12-01,2025-12-31,12,3,1932.16,238.3,357.39,BBD
7d336a40-8fd2-47d7-9688-eea144a71a13,MP-050,M5012546-7,e41091f6-9351-405f-9fb2-297976529042,Cotton Bay (Freights Bay),Freights Bay Surfers Access-00 Enterprise Coast Road,Enterprise,01,BB,BB17127,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.05355,-59.53499",2025-12-01,2025-12-31,14,7,2803.78,345.8,518.66,BBD
adad2740-0e8b-4216-81cd-f68c7e759ca1,MP-003,M5004376-1,113e0ec0-46c5-440e-97a3-7fc9961afff4,Speightstown Esplanade,Speightstown Esplanade,Speightstown,St. Peter,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.2508718611134,-59.6442456867991",2025-12-01,2025-12-31,6,1,1546.22,190.7,286.02,BBD
ed7cde09-f76c-4a74-b8c9-35e9143736a0,MP-065,M5012546-6,6e58c556-a2de-4f28-8050-c7803d97ca20,Santosha East Coat,"Ermy Bourne Highway, Belleplaine-southroad Windey Hill",St Andrew,02,BB,bb2100,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.246398,-59.551534",2025-12-01,2025-12-31,8,2,250.54,30.9,25.55,BBD
affdd94e-5df4-483f-8e67-004aa40a9730,MP-020,51210097772978,ee1be5a4-2046-4ae9-9e64-28066a8e1527,The Walk,"The Walk, Welches, St Thomas",Welches,St Thomas,BB,,,,America/Barbados,"13.155103143456,-59.6113313021413",2025-12-01,2025-12-31,0,0,0.00,0.0,0.00,
97c7f6a7-7006-47d9-b131-ab4bf4588444,MP-061,M5012054-6,da62d1c4-cbd6-4389-9c49-4a8db67041cd,Sheraton Center Barbados,Sheraton Center,Sargeant’s Village,Christ Church,BB,,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0828117900741,-59.5666073309772",2025-12-01,2025-12-31,72,29,10463.51,1290.5,1862.30,BBD
484ace17-61a1-4166-b6ae-ed4206be189f,MP-004,M5004376-3,3a9ad049-2559-408f-84ae-c0b36ca60b8e,Millennium Heights,N/A-N/A Welches,St. Thomas,St. Thomas,BB,BB22026,,,America/St_Thomas,"13.150460382201004,-59.61058751275202",2025-12-01,2025-12-31,0,0,0.00,0.0,0.00,
909b0205-27ec-42ff-8db5-ca1c5c13f313,MP-1000,M5012856-2,66feb7b7-5b2a-4b3a-9834-1588c486e002,Melbourne Inn,"Apartment Block-4th Ave, Dover",Bridgetown,01,BB,BB15026,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.0660298,-59.5649616",2025-12-01,2025-12-31,12,7,1413.00,518.1,777.12,BBD
c550619e-b231-4fc8-a566-4ce8db512db8,MP-40,M5012054-3,c99c4c69-f2bf-41da-b54a-e2935d9febaf,Barbados Yacht Club,Next to Tennis Court-1 Bay Street,Bridgetown ,08,BB,BB11000,Megapower,7a68e918-2948-4d98-8053-506a7ad36942,America/Barbados,"13.083583,-59.608611",2025-12-01,2025-12-31,31,10,4549.46,561.1,841.59,BBD
